readname	chr	start	end
SRR10612065.19	chr5	90012315	90016843
SRR10612065.26	chr2	230356617	230356746
SRR10612065.73	chr2	230356616	230356748
SRR10612065.97	chr10	32751950	32762951
SRR10612065.130	chr2	230356619	230356730
SRR10612065.160	chr9	8811825	8817631
SRR10612065.192	chr4	153332461	153333681
SRR10612065.258	chr2	230356617	230356744
SRR10612065.332	chr19	12825937	12826554
SRR10612065.373	chr2	230356616	230359758
SRR10612065.654	chr2	230356616	230356750
SRR10612065.713	chr16	71779137	71779511
SRR10612065.947	chr11	12023853	12030025
SRR10612065.954	chr1	160181401	160182938
SRR10612065.1038	chr2	230356616	230356750
SRR10612065.1105	chr1	149916760	149921636
SRR10612065.1222	chr20	30954192	30956926
SRR10612065.1242	chr3	49397673	49399999
SRR10612065.1330	chr11	94863754	94863965
SRR10612065.1364	chr8	120252404	120252526
SRR10612065.1408	chr10	45465612	45478111
SRR10612065.1460	chr2	230356616	230359758
SRR10612065.1645	chr3	2203228	2203350
SRR10612065.1748	chr5	53369570	53369951
SRR10612065.1841	chrX	102930648	102930804
SRR10612065.1910	chr2	230356645	230356750
SRR10612065.1988	chr2	230356616	230359757
SRR10612065.2141	chr14	20811265	20811364
SRR10612065.2142	chr4	151074086	151074293
SRR10612065.2318	chr2	230356616	230359758
SRR10612065.2319	chr10	117221457	117309031
SRR10612065.2344	chr3	121540234	121541037
SRR10612065.2465	chr2	230356624	230356750
SRR10612065.2471	chr12	100163559	100163683
SRR10612065.2517	chr13	45956270	45956624
SRR10612065.2523	chr2	230356619	230356750
SRR10612065.2555	chr5	76330243	76332547
SRR10612065.2563	chr2	230356616	230356750
SRR10612065.2586	chr20	50213923	50214107
SRR10612065.2593	chr4	52743939	52744020
SRR10612065.2608	chr8	102214927	102215236
SRR10612065.2694	chr2	141214116	141215122
SRR10612065.2745	chrY	14930357	14930532
SRR10612065.3035	chr11	95525666	95525894
SRR10612065.3037	chr2	230356618	230359758
SRR10612065.3113	chr2	230356616	230359757
SRR10612065.3207	chr2	230356619	230356750
SRR10612065.3238	chr7	77407878	77407995
SRR10612065.3394	chr7	45621488	45621570
SRR10612065.3457	chr2	230356616	230356724
SRR10612065.3527	chr2	230356616	230359758
SRR10612065.3551	chr15	43075652	43086999
SRR10612065.3593	chr9	19786593	19786812
SRR10612065.3619	chr15	42553156	42560230
SRR10612065.3650	chr7	45621488	45621568
SRR10612065.3730	chr2	230356616	230359757
SRR10612065.3842	chr2	230356616	230359757
SRR10612065.3944	chr2	230356640	230356750
SRR10612065.3967	chr2	230356616	230356750
SRR10612065.4174	chr7	104178031	104178576
SRR10612065.4217	chr2	85775216	85775463
SRR10612065.4242	chr3	133475069	133475224
SRR10612065.4351	chr2	230356616	230359758
SRR10612065.4358	chr4	146435740	146435867
SRR10612065.4421	chr2	230356616	230356733
SRR10612065.4468	chr15	63360932	63361018
SRR10612065.4517	chr2	230356616	230359758
SRR10612065.4537	chr5	95092042	95092283
SRR10612065.4645	chr14	20811275	20811363
SRR10612065.4649	chr4	170506553	170509820
SRR10612065.4750	chr13	33110657	33110784
SRR10612065.4899	chr2	230356616	230356751
SRR10612065.4909	chr17	36873087	36873197
SRR10612065.4919	chr3	169831272	169835266
SRR10612065.4980	chr5	107345479	107345814
SRR10612065.5081	chr3	185213581	185213977
SRR10612065.5093	chr2	230356616	230359757
SRR10612065.5146	chr2	230356619	230356747
SRR10612065.5168	chr2	230356616	230356746
SRR10612065.5178	chr16	71692648	71697913
SRR10612065.5293	chr4	146806860	146807004
SRR10612065.5344	chr2	230356643	230356750
SRR10612065.5359	chr2	230382978	230383213
SRR10612065.5381	chr4	52729601	52744020
SRR10612065.5425	chr2	230356617	230356750
SRR10612065.5463	chr2	230356625	230356750
SRR10612065.5464	chr2	230356645	230356750
SRR10612065.5474	chr22	46085590	46136418
SRR10612065.5526	chr2	230356619	230356750
SRR10612065.5537	chr1	8616538	8617516
SRR10612065.5587	chr12	9557412	9558868
SRR10612065.5626	chr14	39627563	39627695
SRR10612065.5779	chr2	230356616	230359758
SRR10612065.5855	chr17	26459643	26499646
SRR10612065.5866	chr9	122113459	122113571
SRR10612065.5968	chr2	230356616	230359758
SRR10612065.6021	chr1	3698303	3698479
SRR10612065.6060	chr2	230356616	230359758
SRR10612065.6318	chr2	230356616	230359759
SRR10612065.6341	chr1	51871702	51873886
SRR10612065.6382	chr2	230356644	230356750
SRR10612065.6455	chr12	50873476	50873883
SRR10612065.6478	chr2	135010665	135012216
SRR10612065.6688	chr7	45621488	45621568
SRR10612065.6699	chr4	52729601	52744020
