readname	chr	start	end
SRR10612065.29	chr15	25500828	25501730
SRR10612065.160	chr9	8811823	8817631
SRR10612065.332	chr19	12825874	12826491
SRR10612065.366	chr2	230356616	230359758
SRR10612065.468	chr2	230356617	230359758
SRR10612065.610	chr12	70593908	70594114
SRR10612065.713	chr16	71779137	71779511
SRR10612065.777	chr11	3797219	3800484
SRR10612065.947	chr11	12023853	12030025
SRR10612065.954	chr1	160181402	160182937
SRR10612065.1105	chr1	149916793	149921579
SRR10612065.1222	chr20	30954185	30956929
SRR10612065.1242	chr3	49397640	49399984
SRR10612065.1301	chr3	142389838	142403145
SRR10612065.1320	chr7	45621488	45621570
SRR10612065.1330	chr11	94863754	94863965
SRR10612065.1352	chr10	117228680	117228815
SRR10612065.1364	chr8	120252404	120252526
SRR10612065.1421	chr1	22014160	22014381
SRR10612065.1426	chr5	140788666	140788879
SRR10612065.1507	chr4	177070963	177073118
SRR10612065.1601	chr19	19360731	19361662
SRR10612065.1642	chr2	230356640	230356747
SRR10612065.1645	chr3	2203228	2203341
SRR10612065.1748	chr5	53369602	53369828
SRR10612065.1803	chr9	101151255	101156539
SRR10612065.1994	chr7	69642433	69642588
SRR10612065.2319	chr10	117221449	117309045
SRR10612065.2344	chr3	121540394	121541099
SRR10612065.2363	chr7	45621383	45621562
SRR10612065.2387	chr2	170843153	170865450
SRR10612065.2469	chr7	77973095	77975362
SRR10612065.2471	chr12	100163560	100163667
SRR10612065.2555	chr5	76330243	76332547
SRR10612065.2586	chr20	50213958	50214153
SRR10612065.2590	chr2	230356634	230356730
SRR10612065.2658	chrX	1725571	1725801
SRR10612065.2745	chrY	14930359	14930532
SRR10612065.2902	chr3	52771604	52775511
SRR10612065.3238	chr7	77407878	77407995
SRR10612065.3551	chr15	43075734	43086997
SRR10612065.3619	chr15	42553156	42560230
SRR10612065.3745	chr18	31673432	31673541
SRR10612065.3975	chr2	230356618	230359758
SRR10612065.3985	chr2	230356644	230356746
SRR10612065.4001	chr5	96300638	96300908
SRR10612065.4174	chr7	104178277	104178565
SRR10612065.4217	chr2	85775269	85775450
SRR10612065.4242	chr3	133475069	133475237
SRR10612065.4358	chr4	146435741	146435867
SRR10612065.4483	chr7	45621452	45621568
SRR10612065.4537	chr5	95092037	95092337
SRR10612065.4649	chr4	170506592	170508750
SRR10612065.4750	chr13	33110649	33110784
SRR10612065.4980	chr5	107345479	107345814
SRR10612065.5081	chr3	185213520	185213865
SRR10612065.5149	chr1	204459289	204459502
SRR10612065.5293	chr4	146806845	146806989
SRR10612065.5359	chr2	230382956	230383190
SRR10612065.5381	chr4	52729601	52744020
SRR10612065.5399	chr12	120535032	120535176
SRR10612065.5474	chr22	46134660	46136413
SRR10612065.5626	chr14	39627559	39627695
SRR10612065.5738	chr5	160757995	160761840
SRR10612065.5855	chr17	26459643	26499646
SRR10612065.5951	chr8	101608082	101608292
SRR10612065.5999	chr1	36026112	36028110
SRR10612065.6115	chrX	122617747	122618180
SRR10612065.6154	chr1	51869091	51871704
SRR10612065.6341	chr1	51871748	51873900
SRR10612065.6380	chr7	65751549	65751676
SRR10612065.6455	chr12	50873530	50873871
SRR10612065.6478	chr2	135010665	135012216
SRR10612065.6613	chr18	66341977	66342088
SRR10612065.6645	chr2	230356616	230359758
SRR10612065.6699	chr4	52729601	52744020
SRR10612065.6784	chr12	81644600	81644715
SRR10612065.6795	chr2	230356616	230359758
SRR10612065.6943	chr9	125751603	125761009
SRR10612065.7012	chr8	113933943	113988145
SRR10612065.7246	chr17	56787332	56801422
SRR10612065.7321	chr7	45621452	45621568
SRR10612065.7378	chr2	40655613	40657444
SRR10612065.7451	chr17	58012553	58013864
SRR10612065.7537	chr4	105439734	105439828
SRR10612065.7637	chr19	29935524	29935654
SRR10612065.7733	chr1	45047393	45047816
SRR10612065.7941	chr4	52743939	52744020
SRR10612065.8192	chr2	230356647	230356747
SRR10612065.8370	chr1	110740826	110741071
SRR10612065.8475	chr12	101336253	101381427
SRR10612065.8526	chr15	63991033	64005781
SRR10612065.8574	chr2	230356616	230359757
SRR10612065.8648	chr9	96233421	96233554
SRR10612065.8675	chr2	230356616	230359757
SRR10612065.8747	chr1	40024297	40024493
SRR10612065.8798	chr9	124043792	124062402
SRR10612065.8997	chr20	45207385	45207742
SRR10612065.9025	chr18	21644101	21649186
SRR10612065.9057	chr13	47038319	47039827
SRR10612065.9104	chr5	107345479	107345813
SRR10612065.9193	chr7	30601512	30601604
SRR10612065.9211	chr6	109175430	109197555
SRR10612065.9259	chr1	210591543	210591642
SRR10612065.9352	chr22	18368762	18370195
SRR10612065.9692	chr6	13206168	13228156
SRR10612065.9824	chr5	74018285	74021799
SRR10612065.9971	chr2	91828572	91828676
SRR10612065.9991	chr2	63711763	63798762
SRR10612065.10014	chr7	45621452	45621568
SRR10612065.10103	chr7	45621488	45621568
SRR10612065.10218	chr1	8601346	8617527
SRR10612065.10264	chr3	64097530	64097821
SRR10612065.10289	chr13	45955873	45956235
SRR10612065.10554	chr3	18504972	18568818
SRR10612065.10603	chr3	170779938	170780322
SRR10612065.10655	chr1	240519118	240519208
SRR10612065.10670	chr14	88883054	88892592
SRR10612065.10685	chr2	24357987	24369958
SRR10612065.10732	chr16	88499203	88499776
SRR10612065.10824	chr14	50320399	50329405
SRR10612065.10889	chr6	16586020	16586109
SRR10612065.11014	chr6	151914240	151951117
SRR10612065.11033	chr2	69881616	69881821
SRR10612065.11177	chr1	44729358	44729816
SRR10612065.11200	chr1	50637966	50638341
SRR10612065.11378	chr2	169018297	169023917
SRR10612065.11390	chr22	46477948	46478201
SRR10612065.11401	chr8	132089392	132142169
SRR10612065.11485	chr13	21976936	22028709
SRR10612065.11649	chr1	151258958	151259167
SRR10612065.11693	chr12	9557412	9558868
SRR10612065.11760	chr11	65268753	65269121
SRR10612065.11784	chr2	40657068	40657184
SRR10612065.11790	chr21	38494163	38495315
SRR10612065.12045	chr17	65914871	65916164
SRR10612065.12294	chr5	58481048	58482192
SRR10612065.12355	chr11	65268869	65269169
SRR10612065.12431	chr2	230356669	230356749
SRR10612065.12543	chr17	79652633	79658569
SRR10612065.12548	chr9	710892	711044
SRR10612065.12613	chr9	93375812	93376044
SRR10612065.12670	chr9	130417021	130417169
SRR10612065.12769	chr16	24104175	24135255
SRR10612065.12782	chr2	115402173	115402331
SRR10612065.12805	chr9	127781194	127789187
SRR10612065.13102	chr12	14544005	14544353
SRR10612065.13225	chr5	153835461	153835589
SRR10612065.13293	chrY	16701176	16709992
SRR10612065.13300	chr7	18694806	18694980
SRR10612065.13370	chr4	26667954	26685318
SRR10612065.13433	chr7	140476751	140481429
SRR10612065.13501	chr8	126163413	126194412
SRR10612065.13626	chr17	4192571	4192672
SRR10612065.13651	chr11	94924722	94964053
SRR10612065.13687	chr5	58476421	58489365
SRR10612065.13769	chr2	212530087	212543908
SRR10612065.13822	chr10	24802199	24802324
SRR10612065.13824	chrX	47431789	47431952
SRR10612065.13836	chr4	52729601	52744020
SRR10612065.13879	chr7	45621418	45621568
SRR10612065.14226	chr19	6684430	6686248
SRR10612065.14274	chr13	52531652	52539172
SRR10612065.14293	chr3	141305576	141327482
SRR10612065.14307	chr4	490188	490452
SRR10612065.14309	chr1	98164961	98165104
SRR10612065.14361	chr9	132997062	132997216
SRR10612065.14457	chr8	74467808	74467937
SRR10612065.14698	chr2	122194138	122194512
SRR10612065.14729	chr13	79916909	79918850
