readnames	chr	start	end	count
SRR10612066.9	chr3	1154788	1154908	1
SRR10612066.31	chr3	40156054	40156929	1
SRR10612066.72	chr5	75967703	75967863	1
SRR10612066.187	chrX	117065987	117066093	1
SRR10612066.220	chr1	11840151	11840235	1
SRR10612066.265	chr12	130149139	130149345	1
SRR10612066.293	chr1	33549455	33549635	1
