readname	chr	start	end
SRR10612065.160	chr9	8811823	8817631
SRR10612065.332	chr19	12825874	12826491
SRR10612065.610	chr12	70593908	70594114
SRR10612065.713	chr16	71779137	71779511
SRR10612065.777	chr11	3797219	3800484
SRR10612065.947	chr11	12023853	12030025
SRR10612065.954	chr1	160181402	160182937
SRR10612065.1222	chr20	30954185	30956929
SRR10612065.1364	chr8	120252404	120252526
SRR10612065.1507	chr4	177070963	177073118
SRR10612065.1601	chr19	19360732	19361659
SRR10612065.1642	chr2	230356640	230356747
SRR10612065.1645	chr3	2203228	2203341
SRR10612065.1994	chr7	69642433	69642588
SRR10612065.2319	chr10	117221449	117309045
SRR10612065.2344	chr3	121540394	121541099
SRR10612065.2469	chr7	77973095	77975362
SRR10612065.2586	chr20	50213958	50214153
SRR10612065.2590	chr2	230356634	230356730
SRR10612065.2902	chr3	52773460	52775476
SRR10612065.3619	chr15	42553156	42560230
SRR10612065.3985	chr2	230356644	230356746
SRR10612065.4217	chr2	85775269	85775450
SRR10612065.4358	chr4	146435741	146435867
SRR10612065.4537	chr5	95092037	95092337
SRR10612065.4750	chr13	33110649	33110784
SRR10612065.5081	chr3	185213520	185213865
SRR10612065.5149	chr1	204459289	204459502
SRR10612065.5293	chr4	146806845	146806989
SRR10612065.5359	chr2	230382956	230383190
SRR10612065.5381	chr4	52729601	52744020
SRR10612065.5399	chr12	120535032	120535176
SRR10612065.5738	chr5	160757995	160761840
SRR10612065.5855	chr17	26459643	26499646
SRR10612065.5951	chr8	101608082	101608292
SRR10612065.5999	chr1	36026112	36028110
SRR10612065.6115	chrX	122617747	122618180
SRR10612065.6341	chr1	51871748	51873900
SRR10612065.6380	chr7	65751549	65751676
SRR10612065.6455	chr12	50873530	50873871
SRR10612065.6478	chr2	135010665	135012216
SRR10612065.6613	chr18	66341977	66342088
SRR10612065.6699	chr4	52729601	52744020
SRR10612065.6784	chr12	81644595	81644757
SRR10612065.7012	chr8	113933943	113988145
SRR10612065.7246	chr17	56787332	56801422
SRR10612065.7378	chr2	40655613	40657444
SRR10612065.7451	chr17	58012553	58013864
SRR10612065.7637	chr19	29935524	29935654
SRR10612065.7733	chr1	45047393	45047816
SRR10612065.8192	chr2	230356647	230356747
SRR10612065.8370	chr1	110740826	110741071
SRR10612065.8648	chr9	96233421	96233554
SRR10612065.8747	chr1	40024297	40024493
SRR10612065.9025	chr18	21644101	21649186
SRR10612065.9104	chr5	107345479	107345813
SRR10612065.9193	chr7	30601512	30601604
SRR10612065.9211	chr6	109175430	109197555
SRR10612065.9259	chr1	210591543	210591642
SRR10612065.9352	chr22	18368762	18370195
SRR10612065.9692	chr6	13206168	13228156
SRR10612065.9824	chr5	74018285	74021799
SRR10612065.9971	chr2	91828572	91828676
SRR10612065.10554	chr3	18504972	18568818
SRR10612065.10685	chr2	24357987	24369958
SRR10612065.10732	chr16	88499203	88499776
SRR10612065.11014	chr6	151914240	151951117
SRR10612065.11177	chr1	44729358	44729816
SRR10612065.11378	chr2	169018297	169023917
SRR10612065.11401	chr8	132089392	132142169
SRR10612065.11485	chr13	21976936	21995290
SRR10612065.11760	chr11	65268753	65269121
SRR10612065.11790	chr21	38494163	38495315
SRR10612065.12045	chr17	65914871	65916164
SRR10612065.12548	chr9	710892	711044
SRR10612065.12670	chr9	130417021	130417169
SRR10612065.12769	chr16	24104175	24135255
SRR10612065.12782	chr2	115402173	115402331
SRR10612065.13102	chr12	14544005	14544353
SRR10612065.13300	chr7	18694806	18694980
SRR10612065.13370	chr4	26667954	26685318
SRR10612065.13651	chr11	94924722	94964053
SRR10612065.13687	chr5	58476421	58489365
SRR10612065.13822	chr10	24802199	24802324
SRR10612065.13824	chrX	47431789	47431952
SRR10612065.13836	chr4	52729601	52744020
SRR10612065.14274	chr13	52531652	52539172
SRR10612065.14293	chr3	141305576	141327482
SRR10612065.14307	chr4	490188	490452
SRR10612065.14309	chr1	98164961	98165104
SRR10612065.14457	chr8	74467808	74467937
SRR10612065.14698	chr2	122194138	122194512
SRR10612065.14833	chr4	52729601	52744020
SRR10612065.15062	chr16	78260607	78260922
SRR10612065.15076	chr9	134271105	134271348
SRR10612065.15185	chr3	28458825	28458933
SRR10612065.15452	chr12	110572775	110584795
SRR10612065.15665	chr11	113146300	113146511
SRR10612065.15952	chr14	36645139	36645339
SRR10612065.15953	chr15	25653671	25653798
SRR10612065.16329	chr3	169831144	169840534
SRR10612065.16855	chr20	47981431	47981583
SRR10612065.16995	chr2	208729779	208729945
SRR10612065.17279	chr2	231741569	231742136
SRR10612065.17504	chr11	60619329	60619478
SRR10612065.18198	chr1	12415194	12441433
SRR10612065.18865	chr1	200721374	200721525
SRR10612065.19188	chr5	78734877	78742937
SRR10612065.19297	chr14	33292182	33292511
SRR10612065.19879	chr2	2837329	2837541
SRR10612065.20012	chr9	36052262	36080637
SRR10612065.20037	chr7	23650796	23650918
SRR10612065.20368	chr12	67171525	67171654
SRR10612065.20408	chr6	94066443	94066753
SRR10612065.20409	chr2	115538658	115539115
SRR10612065.20833	chr7	45621383	45621568
SRR10612065.20983	chr7	14468005	14468149
SRR10612065.21020	chr21	45497571	45500009
SRR10612065.21057	chr12	50523453	50523858
SRR10612065.21235	chr1	243708811	244006586
SRR10612065.21258	chr3	7188137	7250015
SRR10612065.21422	chr15	44788581	44789336
SRR10612065.21523	chr11	74921407	74936148
SRR10612065.21767	chr11	44129227	44135851
SRR10612065.21907	chr2	230356644	230356747
SRR10612065.21973	chr7	99621040	99621925
SRR10612065.22474	chr2	28117432	28141170
SRR10612065.22478	chr13	41834678	41834860
SRR10612065.22506	chr12	78064700	78064828
SRR10612065.22769	chr17	489508	530556
SRR10612065.22820	chr2	230356620	230356715
SRR10612065.22858	chr6	138521844	138521990
SRR10612065.22941	chr1	230487998	230488144
SRR10612065.23575	chr13	42352121	42393524
SRR10612065.24434	chr2	230356646	230356745
SRR10612065.24510	chr1	8601326	8617522
SRR10612065.24767	chr9	33971648	33973236
SRR10612065.24805	chr2	172885951	172886267
SRR10612065.24843	chr10	28872413	28878759
SRR10612065.24893	chr14	20811261	20811367
SRR10612065.25060	chr6	55360216	55406943
SRR10612065.25665	chr11	65268785	65268977
SRR10612065.25830	chr2	230356641	230356747
SRR10612065.25847	chr16	85124755	85125044
SRR10612065.25876	chr6	54013852	54095715
SRR10612065.26086	chr11	75115792	75116039
SRR10612065.26342	chr20	33057850	33077731
SRR10612065.26380	chr10	101157067	101157411
SRR10612065.27504	chr9	138741981	138758383
SRR10612065.27683	chr18	74691888	74692080
SRR10612065.27720	chr4	184392744	184395949
SRR10612065.27722	chr2	230356645	230356748
SRR10612065.28135	chr1	33764684	33764828
