readname	chr	start	end
SRR10612066.72	chr5	75967703	75967863
SRR10612066.400	chr2	230356615	230356733
SRR10612066.484	chr6	105192468	105219213
SRR10612066.554	chr1	26230279	26232910
SRR10612066.585	chr5	156475093	156475525
SRR10612066.869	chr20	33302394	33303172
SRR10612066.952	chr19	12687702	12687926
SRR10612066.1046	chr19	46318072	46318245
SRR10612066.1282	chr18	51979668	51980008
SRR10612066.1351	chr2	70223818	70230448
SRR10612066.1710	chr1	218488530	218488738
SRR10612066.1872	chr14	20811244	20811352
SRR10612066.2308	chr1	232007826	232008025
SRR10612066.2381	chr17	16946451	16946733
SRR10612066.2538	chrX	84397616	84398024
SRR10612066.2831	chr20	62565710	62565988
SRR10612066.2923	chr14	23762854	23762956
SRR10612066.3190	chr2	61436073	61439045
SRR10612066.3245	chr2	20946789	20946985
SRR10612066.3268	chr5	115484147	115484392
SRR10612066.3430	chr1	112076031	112076241
SRR10612066.3491	chr19	10248563	10248657
SRR10612066.3628	chr7	55923032	55923161
SRR10612066.3860	chr3	73617537	73617714
SRR10612066.3924	chr16	67899060	67902499
SRR10612066.4094	chr11	73875202	73875393
SRR10612066.4107	chr3	51340135	51340376
SRR10612066.4739	chr3	38268339	38268530
SRR10612066.4847	chr14	20811233	20811377
SRR10612066.4859	chr14	30288373	30288538
SRR10612066.4871	chr5	142319531	142319749
SRR10612066.5161	chr7	71736598	71736833
SRR10612066.5275	chr11	64621288	64621385
SRR10612066.5669	chr7	6777172	6777363
SRR10612066.5709	chr2	230356616	230356729
SRR10612066.5799	chr19	48244380	48244719
SRR10612066.5818	chr5	72370567	72378654
SRR10612066.6110	chr6	41781115	41781323
SRR10612066.6158	chr9	125901845	125909268
SRR10612066.6321	chr1	174982933	174983094
SRR10612066.6567	chr14	20811230	20811346
SRR10612066.6682	chr16	12293480	12371844
SRR10612066.6758	chr1	39630265	39630433
SRR10612066.6847	chr7	27831801	27832834
SRR10612066.6859	chr16	68950910	68951103
SRR10612066.6941	chr8	17407854	17409434
SRR10612066.7201	chr1	65098328	65099840
SRR10612066.7236	chr2	44428364	44428544
SRR10612066.7271	chr14	20811234	20811338
SRR10612066.7331	chr2	230356622	230356739
SRR10612066.7464	chr14	64586308	64589039
SRR10612066.7541	chr10	23857571	23857880
SRR10612066.7676	chr3	114054107	114054365
SRR10612066.7734	chr2	122153923	122154077
