readname	chr	start	end
SRR10612066.9	chr3	1154788	1154908
SRR10612066.31	chr3	40156054	40156929
SRR10612066.72	chr5	75967703	75967863
SRR10612066.187	chrX	117065987	117066093
SRR10612066.220	chr1	11840151	11840235
SRR10612066.265	chr12	130149139	130149345
SRR10612066.293	chr1	33549455	33549635
SRR10612066.400	chr2	230356615	230356733
SRR10612066.461	chr14	20811280	20811442
SRR10612066.484	chr6	105192468	105219213
SRR10612066.491	chr22	21738102	21905178
SRR10612066.501	chr14	20811230	20811364
SRR10612066.510	chr12	27297655	27297879
SRR10612066.554	chr1	26230279	26232910
SRR10612066.585	chr5	156475093	156475525
SRR10612066.605	chr21	38269336	38302736
SRR10612066.660	chr1	105812109	105812216
SRR10612066.757	chr1	28619953	28620277
SRR10612066.846	chr11	47213899	47214066
SRR10612066.869	chr20	33302394	33303172
SRR10612066.923	chr10	75233648	75233832
SRR10612066.952	chr19	12687702	12687926
SRR10612066.1028	chr7	40089630	40090127
SRR10612066.1046	chr19	46318072	46318245
SRR10612066.1059	chr17	18971158	19097646
SRR10612066.1175	chr14	20811244	20811340
SRR10612066.1234	chr3	58789346	58792184
SRR10612066.1245	chr2	27274641	27278623
SRR10612066.1282	chr18	51979668	51980008
SRR10612066.1351	chr2	70223818	70230448
SRR10612066.1413	chr4	148994216	148994399
SRR10612066.1480	chr14	50320488	50329516
SRR10612066.1541	chr18	60918008	60918212
SRR10612066.1568	chr6	52356842	52357169
SRR10612066.1667	chr19	24119577	24147733
SRR10612066.1710	chr1	218488530	218488738
SRR10612066.1823	chr3	33453146	33454317
SRR10612066.1872	chr14	20811244	20811352
SRR10612066.1894	chr21	47613025	47613667
SRR10612066.1929	chr13	37541807	37546141
SRR10612066.2088	chr2	230356616	230359757
SRR10612066.2259	chr6	164118803	164118984
SRR10612066.2308	chr1	232007826	232008025
SRR10612066.2381	chr17	16946451	16946733
SRR10612066.2445	chr2	230356616	230359757
SRR10612066.2538	chrX	84397616	84398024
SRR10612066.2797	chr20	9442814	9443001
SRR10612066.2831	chr20	62565710	62565988
SRR10612066.2852	chr14	20811245	20811339
SRR10612066.2923	chr14	23762854	23762956
SRR10612066.3190	chr2	61436073	61439045
SRR10612066.3245	chr2	20946789	20946985
SRR10612066.3268	chr5	115484147	115484392
SRR10612066.3349	chr3	10996476	10996620
SRR10612066.3430	chr1	112076031	112076241
SRR10612066.3491	chr19	10248563	10248657
SRR10612066.3568	chr2	39326910	39327299
SRR10612066.3628	chr7	55923032	55923161
SRR10612066.3696	chr19	14181371	14181528
SRR10612066.3860	chr3	73617537	73617714
SRR10612066.3900	chr9	127143960	127144229
SRR10612066.3924	chr16	67899060	67902499
SRR10612066.3951	chr8	43092963	43093745
SRR10612066.4094	chr11	73875202	73875393
SRR10612066.4107	chr3	51340135	51340376
SRR10612066.4231	chr2	97868130	97875832
SRR10612066.4238	chr14	20811265	20811467
SRR10612066.4739	chr3	38268339	38268530
SRR10612066.4847	chr14	20811233	20811377
SRR10612066.4859	chr14	30288373	30288538
SRR10612066.4871	chr5	142319531	142319749
SRR10612066.4896	chr8	19385689	19386156
SRR10612066.4914	chr14	20811268	20811541
SRR10612066.5091	chr8	1828214	1830910
SRR10612066.5101	chr14	50320494	50329547
SRR10612066.5161	chr7	71736598	71736833
SRR10612066.5223	chr1	70541831	70541934
SRR10612066.5275	chr11	64621288	64621385
SRR10612066.5279	chr16	14687157	14698080
SRR10612066.5660	chr5	32385663	32385755
SRR10612066.5669	chr7	6777172	6777363
SRR10612066.5709	chr2	230356616	230356729
SRR10612066.5799	chr19	48244380	48244719
SRR10612066.5818	chr5	72370567	72378654
SRR10612066.5940	chr3	140777409	140777497
SRR10612066.6110	chr6	41781115	41781323
SRR10612066.6158	chr9	125901845	125909268
SRR10612066.6218	chr14	20811244	20811404
SRR10612066.6296	chr8	89177160	89188965
SRR10612066.6306	chr2	9578219	9578342
SRR10612066.6321	chr1	174982933	174983094
SRR10612066.6567	chr14	20811230	20811346
SRR10612066.6682	chr16	12293480	12371844
SRR10612066.6704	chr14	50320413	50329428
SRR10612066.6758	chr1	39630265	39630433
SRR10612066.6821	chr6	109611303	109611596
SRR10612066.6847	chr7	27831801	27832834
SRR10612066.6859	chr16	68950910	68951103
SRR10612066.6941	chr8	17407854	17409434
SRR10612066.7161	chr21	45739653	45739748
SRR10612066.7201	chr1	65098328	65099840
SRR10612066.7236	chr2	44428364	44428544
SRR10612066.7270	chr2	10479196	10479286
SRR10612066.7271	chr14	20811234	20811338
SRR10612066.7331	chr2	230356622	230356739
SRR10612066.7334	chr2	27668349	27668597
SRR10612066.7464	chr14	64586308	64589039
SRR10612066.7480	chr6	49449275	49450906
SRR10612066.7541	chr10	23857571	23857880
SRR10612066.7676	chr3	114054107	114054365
SRR10612066.7732	chr14	50320493	50329547
SRR10612066.7734	chr2	122153923	122154077
SRR10612066.7749	chr17	58771959	58772148
SRR10612066.7987	chr3	9825809	9828762
SRR10612066.8029	chr11	85707868	85714496
SRR10612066.8275	chr17	56894408	56894604
SRR10612066.8378	chr14	20811239	20811379
SRR10612066.8385	chr16	20777923	20778027
SRR10612066.8868	chr8	139452786	139452923
SRR10612066.8877	chr4	75048448	75048573
SRR10612066.8896	chr4	151682935	151738411
SRR10612066.8961	chr1	43663222	43663363
SRR10612066.9000	chr6	95844042	95844217
SRR10612066.9146	chr20	16337031	16351283
SRR10612066.9178	chr8	144793723	144794965
SRR10612066.9188	chr7	37713712	37713849
SRR10612066.9197	chr14	20811293	20811522
SRR10612066.9251	chr14	20811237	20811346
SRR10612066.9410	chr8	81550874	81551052
SRR10612066.9412	chr19	55992848	55994237
SRR10612066.9703	chr10	75000702	75000942
SRR10612066.9752	chr2	32917764	32917980
SRR10612066.9890	chr2	176802094	176804367
SRR10612066.9911	chr5	81418849	81418951
SRR10612066.9959	chr10	49623550	49632630
SRR10612066.10011	chr14	74946766	74946936
SRR10612066.10145	chr12	28361459	28408564
SRR10612066.10185	chr6	57012076	57012277
SRR10612066.10271	chr20	3451676	3451842
SRR10612066.10326	chr8	145949850	145950012
SRR10612066.10354	chr3	543848	544008
SRR10612066.10410	chr14	20811283	20811452
SRR10612066.10415	chr2	230356615	230356750
SRR10612066.10522	chr2	71245337	71267215
SRR10612066.10615	chr1	150373578	150373688
SRR10612066.10657	chr3	65701331	65701555
SRR10612066.10720	chr13	113839807	113845289
SRR10612066.10882	chr14	20811230	20811385
SRR10612066.10906	chr19	8940812	8941107
SRR10612066.10932	chr1	173613226	173613397
SRR10612066.11106	chr8	27466454	27468053
SRR10612066.11321	chr19	622581	622675
SRR10612066.11562	chr2	242344213	242347027
SRR10612066.11621	chr9	103261549	103271416
SRR10612066.11706	chr18	48573472	48573625
SRR10612066.11720	chr15	73588966	73589096
SRR10612066.11822	chr20	62322248	62324187
SRR10612066.11856	chr1	27616875	27617056
SRR10612066.11913	chr13	57127048	57127204
SRR10612066.12036	chr17	44658496	44658645
SRR10612066.12054	chr14	50320494	50329547
SRR10612066.12174	chr14	20811244	20811339
SRR10612066.12234	chr3	19521385	19521651
SRR10612066.12247	chr9	99900757	99907171
SRR10612066.12279	chr2	45925078	45928630
SRR10612066.12280	chr15	41707282	41707549
SRR10612066.12351	chr19	34751076	34751306
SRR10612066.12354	chr1	110582497	110582711
SRR10612066.12545	chr2	230356616	230359748
SRR10612066.12558	chrX	120224244	120227329
SRR10612066.12661	chr19	30195539	30195638
SRR10612066.12684	chr15	71788951	71789299
SRR10612066.12753	chr14	69597272	69597528
SRR10612066.12763	chr19	48219824	48219926
SRR10612066.12860	chr14	20811283	20811513
SRR10612066.12878	chr19	1577486	1584679
SRR10612066.12914	chr14	50320494	50329547
SRR10612066.12966	chr19	1120556	1120704
SRR10612066.12996	chr3	9843342	9843440
SRR10612066.13139	chr12	56635983	56636116
SRR10612066.13154	chr1	1718107	1718308
SRR10612066.13259	chrX	131419113	131419232
SRR10612066.13598	chr10	81924871	81924990
SRR10612066.13638	chr13	96656686	96656834
SRR10612066.13662	chr2	110920505	110920657
SRR10612066.13719	chr3	3188308	3189101
SRR10612066.13749	chrX	96327938	96330244
SRR10612066.13836	chr2	230356645	230356750
SRR10612066.13941	chr4	147655872	147656031
SRR10612066.14094	chr6	33406043	33406298
SRR10612066.14282	chr8	28919246	28919886
SRR10612066.14305	chr3	131944181	131944462
SRR10612066.14365	chr19	535960	536174
SRR10612066.14374	chr1	246847016	246855475
SRR10612066.14397	chr1	12132571	12132763
SRR10612066.14500	chr2	231063661	231063811
SRR10612066.14665	chr15	64826300	64826724
SRR10612066.14698	chr2	210951679	210951867
SRR10612066.14745	chr22	44891974	44892110
SRR10612066.14789	chr15	25309343	25315020
SRR10612066.14879	chr7	140731710	140731949
SRR10612066.14880	chr5	87516422	87516537
SRR10612066.14890	chr14	50320372	50329451
SRR10612066.14986	chr18	11656038	11656293
SRR10612066.15201	chr2	230356619	230356733
SRR10612066.15238	chr7	99621040	99726480
SRR10612066.15306	chr11	92897910	92898178
SRR10612066.15307	chr14	20811246	20811345
SRR10612066.15594	chr17	73795450	73795838
SRR10612066.15740	chr3	172782800	172782917
SRR10612066.15847	chr12	80214655	80222176
SRR10612066.15851	chr2	183902719	183902809
SRR10612066.16047	chr2	24006646	24006878
SRR10612066.16100	chr17	57421780	57421895
SRR10612066.16161	chr10	1125948	1126394
SRR10612066.16269	chr14	20811230	20811355
SRR10612066.16278	chr22	24648561	24649616
SRR10612066.16333	chr2	149420265	149420511
SRR10612066.16448	chr22	42998198	42998453
SRR10612066.16458	chr9	72788250	72788471
SRR10612066.16654	chr5	137320946	137324007
SRR10612066.16657	chr11	64662785	64663022
SRR10612066.16765	chrY	21189322	21189442
SRR10612066.16954	chr3	49548079	49568253
SRR10612066.17053	chr9	29057321	29057521
SRR10612066.17130	chr19	35038835	35171555
SRR10612066.17220	chr10	77446003	77446094
SRR10612066.17436	chrX	52634251	52811721
SRR10612066.17437	chr9	69181716	69182250
SRR10612066.17529	chr10	20202149	20202469
SRR10612066.17534	chr16	18434272	18474529
SRR10612066.17559	chr10	131958720	131958879
SRR10612066.17712	chr12	114481249	114481508
SRR10612066.17741	chr8	43093259	43093534
SRR10612066.17907	chr16	29420954	29522840
SRR10612066.17983	chr10	43881918	43882121
SRR10612066.17985	chr20	2883180	2883652
SRR10612066.18004	chr11	101274719	101274816
SRR10612066.18041	chr22	24021619	24021907
SRR10612066.18053	chr1	182356592	182356759
SRR10612066.18123	chrX	9567561	9567808
SRR10612066.18164	chr1	173410079	173410210
SRR10612066.18437	chr19	16127515	16127793
SRR10612066.18487	chr1	153637791	153637964
SRR10612066.18560	chr2	89084299	89086309
SRR10612066.18577	chr19	9869043	9869247
SRR10612066.18579	chr14	50320494	50329541
SRR10612066.18676	chr2	88070786	88071025
SRR10612066.18701	chr11	118619831	118619950
SRR10612066.18737	chr14	39960442	39960723
SRR10612066.18858	chr8	24300921	24301098
SRR10612066.18864	chr2	88021908	88025696
SRR10612066.18919	chr4	164426145	164426422
SRR10612066.18942	chr8	17570723	17581695
SRR10612066.19028	chr17	16683712	16683965
SRR10612066.19092	chr5	162478363	162596926
SRR10612066.19164	chr14	37952362	37952498
SRR10612066.19477	chr8	61167542	61167743
SRR10612066.19527	chr14	50320494	50329547
SRR10612066.19528	chr20	19279239	19280203
SRR10612066.19642	chr2	230661317	230663700
SRR10612066.19694	chr16	88807576	88807726
SRR10612066.19844	chr12	50355841	50355961
SRR10612066.19951	chr15	78283232	78283689
SRR10612066.20024	chr13	103518796	103518984
SRR10612066.20197	chr9	139874653	139876071
SRR10612066.20214	chr14	20811230	20811455
SRR10612066.20442	chr9	98492403	98492551
SRR10612066.20519	chr14	20811233	20811446
SRR10612066.20535	chr9	99285560	99285998
SRR10612066.20598	chr14	20811230	20811461
SRR10612066.20737	chr1	46499794	46499938
SRR10612066.20786	chr17	60765663	60765889
SRR10612066.20789	chr13	81531844	81531987
SRR10612066.20793	chr7	140500229	140507798
SRR10612066.20830	chr4	10132680	10132815
SRR10612066.20879	chr10	28233509	28233725
SRR10612066.20952	chr8	10224366	10224516
SRR10612066.20976	chr17	36861525	36861633
SRR10612066.20979	chr7	102523859	102524742
SRR10612066.20994	chr13	73467922	73482818
SRR10612066.20995	chr6	87951618	87951836
SRR10612066.21079	chr2	70134505	70134687
SRR10612066.21138	chr15	50899221	50899330
SRR10612066.21479	chr10	81140499	81167597
SRR10612066.21499	chr14	50320377	50329384
SRR10612066.21502	chr11	57564283	57569285
SRR10612066.21530	chr7	120889470	120889748
SRR10612066.21547	chr7	44872563	44872976
SRR10612066.21578	chr11	64135937	64136035
SRR10612066.21764	chr10	26775868	26776019
SRR10612066.21916	chr9	87347571	87348112
SRR10612066.22002	chr15	35823627	35825204
SRR10612066.22125	chr2	69784712	69785363
SRR10612066.22265	chr19	9444661	9444920
SRR10612066.22275	chr10	35302627	35320547
SRR10612066.22288	chr17	30315345	30315510
SRR10612066.22332	chr14	35331250	35331390
SRR10612066.22384	chr17	80401955	80402465
SRR10612066.22399	chr14	20811233	20811346
SRR10612066.22442	chr11	65272293	65272506
SRR10612066.22444	chr17	36882036	36882215
SRR10612066.22512	chr22	38494239	38494362
SRR10612066.22621	chr11	62575081	62591958
SRR10612066.22662	chr19	47865732	47865818
SRR10612066.22693	chr8	39007355	39008978
SRR10612066.22717	chr22	40231903	40257842
SRR10612066.22744	chr9	43044432	43050932
SRR10612066.22810	chr14	50320494	50329547
SRR10612066.22839	chr2	73677666	73678269
SRR10612066.22847	chr2	74494551	74494741
SRR10612066.22907	chr9	115080441	115080792
SRR10612066.22939	chr20	61492464	61492677
SRR10612066.22966	chr19	919829	920019
SRR10612066.23021	chr14	20811237	20811346
SRR10612066.23073	chr10	75530015	75530786
SRR10612066.23140	chr10	12397677	12397794
SRR10612066.23285	chr17	67625620	67625765
SRR10612066.23309	chr15	28913824	28914141
SRR10612066.23388	chr22	47189677	47193429
SRR10612066.23574	chr16	87196568	87196900
SRR10612066.23586	chr2	170429690	170429784
