readname	chr	start	end
SRR10612066.9	chr3	1154799	1154915
SRR10612066.72	chr5	75967703	75967863
SRR10612066.187	chrX	117065891	117066103
SRR10612066.220	chr1	11840151	11840235
SRR10612066.228	chr13	41755315	41755723
SRR10612066.263	chr2	71575881	71577401
SRR10612066.277	chr14	20811339	20811450
SRR10612066.430	chr11	61081395	61081604
SRR10612066.461	chr14	20811293	20811442
SRR10612066.484	chr6	105198216	105219223
SRR10612066.585	chr5	156475099	156475524
SRR10612066.605	chr21	38269375	38302717
SRR10612066.660	chr1	105812109	105812216
SRR10612066.869	chr20	33302394	33303172
SRR10612066.952	chr19	12687702	12687926
SRR10612066.1028	chr7	40089677	40089783
SRR10612066.1059	chr17	18971135	19097539
SRR10612066.1245	chr2	27275788	27277997
SRR10612066.1282	chr18	51979626	51979989
SRR10612066.1351	chr2	70223818	70230448
SRR10612066.1413	chr4	148994216	148994392
SRR10612066.1480	chr14	50320488	50329506
SRR10612066.1589	chr14	20811239	20811334
SRR10612066.1667	chr7	64718505	64724940
SRR10612066.1728	chr9	97265702	97265815
SRR10612066.1894	chr21	47613025	47613667
SRR10612066.2187	chr17	49304122	49304201
SRR10612066.2381	chr17	16946458	16946726
SRR10612066.2597	chr6	111873395	111873538
SRR10612066.2817	chr15	96844099	96844229
SRR10612066.2828	chr5	154162565	154172223
SRR10612066.2831	chr20	62565702	62565988
SRR10612066.2923	chr14	23762854	23762956
SRR10612066.2985	chr19	19309988	19312548
SRR10612066.3190	chr2	61436072	61439055
SRR10612066.3245	chr2	20946806	20946993
SRR10612066.3268	chr5	115484147	115484405
SRR10612066.3430	chr1	112076031	112076240
SRR10612066.3434	chr14	20811230	20811385
SRR10612066.3709	chr6	58236695	58237036
SRR10612066.3860	chr3	73617558	73617762
SRR10612066.3862	chr14	20811239	20811346
SRR10612066.3951	chr8	43092793	43093015
SRR10612066.4117	chr1	10327536	10355191
SRR10612066.4231	chr2	97857261	97875716
SRR10612066.4374	chr2	170691272	170691928
SRR10612066.4708	chr18	693851	694004
SRR10612066.4859	chr14	30288361	30288496
SRR10612066.4871	chr5	142319508	142319678
SRR10612066.4896	chr8	19385687	19386156
SRR10612066.4914	chr14	20811265	20811541
SRR10612066.5101	chr14	50320494	50329547
SRR10612066.5103	chr14	20811293	20811401
SRR10612066.5279	chr16	14687157	14698080
SRR10612066.5409	chr14	60894247	60894357
SRR10612066.5533	chr2	96498284	96499923
SRR10612066.5656	chr13	64318271	64409818
SRR10612066.5660	chr5	32385663	32385755
SRR10612066.5938	chr14	20811234	20811346
SRR10612066.6218	chr14	20811240	20811380
SRR10612066.6296	chr8	89188859	89188965
SRR10612066.6310	chr19	22785181	22785293
SRR10612066.6321	chr1	174982926	174983094
SRR10612066.6404	chr10	22746330	22746419
SRR10612066.6567	chr14	20811237	20811346
SRR10612066.6704	chr14	50320487	50329547
SRR10612066.6821	chr6	109611303	109611596
SRR10612066.6851	chr4	26786711	26786928
SRR10612066.6859	chr16	68950910	68951103
SRR10612066.6941	chr8	17407838	17409429
SRR10612066.6949	chr18	29432096	29432210
SRR10612066.7161	chr21	45739704	45739812
SRR10612066.7236	chr2	44428356	44428546
SRR10612066.7270	chr2	10479158	10479296
SRR10612066.7271	chr14	20811230	20811338
SRR10612066.7464	chr14	64586308	64589039
SRR10612066.7480	chr19	12051474	12051815
SRR10612066.7541	chr10	23857622	23857905
SRR10612066.7676	chr3	114054109	114054365
SRR10612066.7749	chr17	58771959	58772151
SRR10612066.7807	chr3	164823833	164825967
SRR10612066.7888	chr11	68874956	68875439
SRR10612066.7987	chr3	9825734	9828730
SRR10612066.8029	chr11	85707868	85711743
SRR10612066.8275	chr17	56894408	56894605
SRR10612066.8666	chr2	215025513	215025639
SRR10612066.8736	chr2	29010755	29011031
SRR10612066.8852	chr14	20811230	20811346
SRR10612066.8868	chr8	139452786	139452923
SRR10612066.8877	chr4	75048448	75048569
SRR10612066.8896	chr4	151682935	151738411
SRR10612066.8961	chr1	43652461	43663363
SRR10612066.8970	chr9	88293514	88294027
SRR10612066.9000	chr6	95844007	95844195
SRR10612066.9045	chr14	20811265	20811431
SRR10612066.9137	chr15	22381295	22381423
SRR10612066.9197	chr14	20811244	20811425
SRR10612066.9703	chr10	75000724	75000954
SRR10612066.9752	chr2	32917801	32918011
SRR10612066.9777	chr1	190327081	190354420
SRR10612066.9890	chr2	176802094	176804366
SRR10612066.10068	chr16	4700366	4702826
SRR10612066.10145	chr12	28361456	28363969
SRR10612066.10271	chr20	3451684	3451821
SRR10612066.10354	chr3	543848	544002
SRR10612066.10410	chr14	20811283	20811452
SRR10612066.10522	chr13	64318256	64409681
SRR10612066.10552	chr2	230356646	230356748
SRR10612066.10657	chr3	65701338	65701555
SRR10612066.10720	chr13	113838704	113845268
SRR10612066.10867	chr5	454045	454166
SRR10612066.10882	chr14	20811244	20811352
SRR10612066.10906	chr19	8940812	8940961
SRR10612066.10932	chr1	173613271	173613405
SRR10612066.11134	chr17	40157708	40157823
SRR10612066.11233	chr7	72447640	72447774
SRR10612066.11261	chr14	31420067	31425437
SRR10612066.11321	chr19	622289	622610
SRR10612066.11604	chr22	50171143	50171289
SRR10612066.11621	chr9	103261113	103271416
SRR10612066.11673	chr2	230356616	230359758
SRR10612066.11706	chr18	48573467	48573625
SRR10612066.11822	chr20	62322248	62324187
SRR10612066.11850	chr2	230356616	230359757
SRR10612066.11856	chr1	27616873	27617075
SRR10612066.12031	chr12	131679400	131679611
SRR10612066.12036	chr17	44440569	44440718
SRR10612066.12054	chr14	50320474	50329547
SRR10612066.12174	chr14	20811236	20811339
SRR10612066.12234	chr3	19521385	19521651
SRR10612066.12247	chr9	99900757	99907080
SRR10612066.12279	chr2	45925078	45928630
SRR10612066.12351	chr19	34751076	34751306
SRR10612066.12430	chr5	70498099	70516183
SRR10612066.12558	chrX	120224244	120281234
SRR10612066.12661	chr19	30195543	30195638
SRR10612066.12684	chr15	71789078	71789342
SRR10612066.12753	chr14	69597285	69597551
SRR10612066.12878	chr19	1577469	1577602
SRR10612066.12966	chr19	1060571	1120602
SRR10612066.12972	chr14	20811235	20811346
SRR10612066.12996	chr3	9843342	9843432
