readnames	chr	start	end	count
SRR10612066.72	chr5	75967703	75967863	1
SRR10612066.187	chrX	117065891	117066103	1
SRR10612066.220	chr1	11840151	11840235	1
SRR10612066.228	chr13	41755315	41755723	1
SRR10612066.263	chr2	71575881	71577401	1
